n;Spill1;Spill2;Spill3
1;17920;1280;36800
2;180158;1600;8960
3;19199;3520;33280
4;24960;14719;43519
5;38719;30079;88319
6;937269;33599;100479
7;2187493;56959;139838
8;56588734;87679;166717
9;129124788;128638;219197
10;3647577519;184638;269117
11;8222785059;251517;323196
12;;330876;321596
13;;426235;379515
14;;537914;456315
15;;668791;493113
16;;820150;591353
17;;989108;663352
18;;1186226;709431
19;;1402223;793910
20;;1644139;875189
21;;1919336;978228
22;;2214372;1063027
23;;2541088;1167985
24;;2291491;1274544
25;;573432;1378223
26;;590393;1494701
27;;642232;1611500
28;;738550;1735978
29;;801590;1890536
30;;914868;2013735
31;;979507;2153893
32;;1133746;2296292
33;;1178546;2425569
34;;1379503;2587488
35;;1438382;2750045
36;;1590061;2456609
37;;1684779;388475
38;;1879016;408955
39;;1979495;383995
40;;2175653;398395
41;;2298531;420155
42;;2512609;437755
43;;2672926;472314
44;;2888924;483514
45;;3057562;503994
46;;3319639;525433
47;;3485396;540153
48;;3774033;573433
49;;3971470;591673
50;;4265227;613752
51;;4485384;720631
52;;4806980;679992
53;;5060417;710711
54;;5396413;726071
55;;5636729;761910
56;;6056245;824630
57;;6397040;812150
58;;6734316;846709
59;;6894954;868789
60;;7295589;895349
61;;7699424;926068
62;;7943581;959348
63;;8288856;991028
64;;8817810;1031667
65;;9156686;1052787
66;;9527561;1084146
67;;10071555;1143025
68;;10276352;1159986
69;;10507389;1188146
70;;11857452;1243185
71;;12586083;1252465
72;;13052957;1297264
73;;12592483;1406702
74;;13243034;1473582
75;;13920466;1490541
76;;14519819;1497581
77;;14847495;1562221
78;;15584766;1545581
79;;16003321;1568941
80;;16930349;1577580
81;;17363624;1605420
82;;18271452;1640300
83;;18872085;1634860
84;;19745994;1663659
85;;20658943;1684459
86;;21547891;1701739
87;;21738609;1727019
88;;22731557;1745579
89;;23280030;1775338
90;;24526094;1071347
91;;25029447;1067507
92;;26450870;2632287
93;;26884145;1117426
94;;29622030;1145585
95;;28597403;1170865
96;;30414021;1196146
97;;30422980;1283824
98;;31983601;1349743
99;;32494315;1309744
100;;34063575;1342063
100;;33775258;1338543
110;;45511432;1615340
120;;59883413;1933736
130;;78017266;2300131
140;;99170922;2644447
150;;121332566;3098841
160;;148658945;3496277
170;;179855355;3988110
180;;214170447;4689222
190;;253481637;5881846
200;;299648101;5873847
210;;362410518;6522479
220;;403459285;6958953
230;;459872660;7848862
240;;524755371;8425815
250;;593247316;9757958
260;;701134290;10613307
270;;768974723;11561456
280;;961471520;13054557
290;;1180759664;16972909
300;;1168910852;16003320
310;;1219055827;17171626
320;;1371214567;18579928
330;;1481873987;20513024
340;;1605857399;21835888
350;;1864979285;25643520
360;;1954648566;26162874
370;;2439579154;27855972
380;;2251201665;30207623
390;;2849226202;34391570
400;;2702618431;34100694
410;;;36216508
420;;;38190564
430;;;40684932
440;;;43443938
450;;;45407754
460;;;47387888
470;;;49473943
480;;;53179817
490;;;54595478
500;;;57134647
510;;;60305807
520;;;63332329
530;;;65000469
540;;;67752754
550;;;70034966
560;;;73375084
570;;;76780802
580;;;79215331
590;;;80672913
600;;;85677011
610;;;87486908
620;;;90793106
630;;;93575472
640;;;96307598
650;;;100945941
660;;;110736218
670;;;107188103
680;;;111557008
690;;;112249799
700;;;116281749
710;;;120536416
720;;;123682296
730;;;128550395
740;;;132644104
750;;;135437669
760;;;140030253
770;;;141983188
780;;;145309867
790;;;149772851
800;;;152828492
810;;;158103307
820;;;169252608
830;;;164487548
840;;;168507017
850;;;175404211
860;;;178817929
870;;;182215326
880;;;187230944
890;;;192625436
900;;;199106316
910;;;201435886
920;;;205392956
930;;;208397080
940;;;213325338
950;;;218368795
960;;;223525210
970;;;229476496
980;;;234269077
990;;;243319843
1000;;;245167180
1000;;;243519201
1100;;;297476607
1200;;;356746907
1300;;;419339087
1400;;;489582370
1500;;;563544007
1600;;;675379091
1700;;;729124021
1800;;;819356495
1900;;;925088295
2000;;;1036951219
